hindi,complaint,category
"करौली जिले के हिंडौन में युवती के साथ सामुहिक दुष्कर्म व हत्या 18 वर्षीय बेटी के
साथ गैंगरेप के बाद तेजाब से जला कर तथा गोली मारकर लाश को कुएं में डालने का
जघन्य अपराध व हृदय विदारक घटना हुई है.","Gang rape and murder of 18 year old girl in Hindaun of Karauli district.
Along with burning the body with acid and shooting it after gangrape and dumping it in a well.
A heinous crime and a heart-wrenching incident has taken place.",3
एक महिला और उसकी बेटी सड़क पर खड़ी थी. तभी बाइक सवार दो बदमाशों ने उसकी बेटी को छीन लिया और मौके से फरार हो गए. हालांकि बाद में उसे एक मंदिर के पास छोड़ दिया गया.,"A woman and her daughter were standing on the road. Then two miscreants riding a bike snatched his daughter and fled from the spot. However, he was later abandoned near a temple.",2
"हाजी एपी बाबा एण्ड कंपनी कान्ट्रक्शन प्राइवेट लिमिटेड के विराट नगर स्थित
ऑफिस से अकाउंटेंट पी सुरेश का अपहरण हो गया था. आरोपियों ने कट्टे की नोक पर
अकाउंटेंट का अपहरण कर लिया था.","Located at Virat Nagar of Haji AP Baba & Company Construction Pvt. Ltd.
Accountant P Suresh was kidnapped from the office. The accused at knifepoint
The accountant was kidnapped.",2
"हरियाणा में सोनीपत जिले के एक गांव में एक व्यक्ति ने कथित तौर पर गोली मार
कर दो लोगों की हत्या कर दी. यह विवाद खेतों में पानी वितरण को लेकर शुरू हुआ था
जिसमें पिता-पुत्र की हत्या हो गई.","A man allegedly shot dead in a village in Sonipat district in Haryana
Killed two people. This dispute started over water distribution in the fields.
In which father and son were murdered.",3
"हरियाणा के पलवल में डिलीवरी के दौरान एक अधिक खून बहने से गर्भवती महिला की मौत हो गई। परिजनों का आरोप है कि डॉक्टरों की लापरवाही ये यह हुआ है। डॉक्टरों ने कई बार महिला के पेट को खोला बंद किया, इससे रक्त बह गया और जान चली गई।","A pregnant woman died due to excessive bleeding during delivery in Palwal, Haryana. The family members allege that this happened due to the negligence of the doctors. The doctors opened and closed the woman's stomach several times, due to which she lost blood and lost her life.",1
गांव भैणी खुर्द (करनाल) में गांव वालों ने पानी की छबील लगा रखी थी। अचानक एक ट्रैक्टर ने एक बच्चे उम्र 9 साल को टक्कर मार दी। जिसमें आख उम्र 9 साल ट्रैक्टर के नीचे आ गया व ओमप्रकाश वासी भैणी खुर्द की टांग टूट गई। जिनको पार्क अस्पताल करनाल में एडमिट कराया गया। जहां पर डाक्टरों द्वारा आख को मृत घोषित कर दिया गया व घायल ओमप्रकाश का डाक्टरों द्वारा उपचार किया जा रहा है।,"In village Bhaini Khurd (Karnal), the villagers had installed a water bottle. Suddenly a tractor hit a child aged 9 years. In which Aakh, aged 9 years, came under the tractor and Omprakash resident Bhaini Khurd's leg was broken. Who were admitted to Park Hospital Karnal. Where Aakh was declared dead by the doctors and injured Omprakash is being treated by the doctors.",1
"रोहतक में 21 साल की एक दलित महिला के साथ कथित सामूहिक बलात्कार की
घटना.","Alleged gang rape of a 21 year old Dalit woman in Rohtak
Event.",4
हरियाणा में 4 लड़कों ने दो नाबालिग बहनों के साथ दुष्कर्म किया और फिर उसे कीटनाशक पीने को मजबूर किया. जिससे उनकी मौत हो गई. चारों युवकों की उम्र 22 से 25 साल के बीच है.,"In Haryana, four boys raped two minor sisters and then forced them to drink pesticide. Due to which he died. The age of all four youths is between 22 to 25 years.",4
अम्बाला में शुक्रवार से लापता डेढ़ वर्षीय बालक का शव शनिवार को घर से करीब 100 मीटर की दूरी पर झाड़ी में मिला. मामला मीरपुर वार्ड संख्या 17 का है.,"The body of a one and a half year old boy, who was missing since Friday in Ambala, was found on Saturday in a bush about 100 meters from his house. The matter is of Mirpur ward number 17.",3
कैथल में गंदे पानी की निकासी की बात को लेकर शुक्रवार शाम को मामूली कहासुनी पर दो पक्षों में झगड़ा हो गया था. इस झगड़े के दौरान रॉड से हमले में एक बुजुर्ग गंभीर रूप से घायल हो गया था. इलाज के दौरान मृत्यु हो गई.,"On Friday evening, there was a fight between two parties over a minor dispute regarding the issue of drainage of dirty water in Kaithal. During this fight, an elderly man was seriously injured in an attack with a rod. Died during treatment.",3
"स्पोर्ट्स बाइक का कर्ज चुकाने के लिए युवक ने खुद के फर्जी अपहरण की रची
कहानी","To repay the loan of sports bike, the young man conspired to fake kidnapping of himself.
Story",2
"गुरुग्राम में शुक्रवार को तीन यात्रियों ने ओला के एक कैब ड्राइवर के साथ लूटपाट
की। पुलिस ने यह जानकारी देते हुए बताया कि आरोपियों ने ड्राइवर से उसका
आईफोन और बटुआ छीन लिया। कैब ड्राइवर सचिन कुमार द्वारा दर्ज शिकायत के
अनुसार, घटना सेक्टर 89-ए में तड़के करीब 2.45 बजे हुई। शिकायत में कहा गया है
कि गुरुग्राम रेलवे स्टेशन पर एक यात्री को छोड़ने के बाद, कुमार को स्टेशन के पास से
करीब ढाई बजे ओला ऐप पर एक बुकिंग मिली, जिसके बाद तीन लोग उसकी गाड़ी में
सवार हो गए।","Three passengers looted an Ola cab driver in Gurugram on Friday.
of. Giving this information, the police said that the accused asked the driver to
Snatched away iPhone and wallet. According to the complaint lodged by cab driver Sachin Kumar
According to this, the incident took place in Sector 89-A at around 2.45 am. The complaint states
That after dropping a passenger at Gurugram railway station, Kumar was found dead near the station.
Got a booking on Ola app around 2.30 pm, after which three people got into his car.
Boarded up.",0
"हरियाणा के जींद जिले के ऐचरा कलां गांव में रहने वाले दिव्यांग सतपाल की
मौत.उसकी पत्नी ने अपने भाई के साथ मिल कर गला घोंट कर हत्या की और फिर उसे
हादसे का शक्ल दे दिया.","Divyang Satpal, living in Aichra Kalan village of Jind district of Haryana.
Death. His wife along with her brother strangled him to death and then
Gave it the shape of an accident.",3
"हिसार में बेखौफ अपराधियों ने रिटायर्ड टीचर को दो गोली मारी, जिससे उसकी
मौके पर ही मौत हो गई","In Hisar, fearless criminals shot a retired teacher twice, killing him.
died on the spot",3
"भिवानी में मोहम्मद जैद ने कथित रूप से दो भाइयों से कहासुनी के बाद राहुल को
चाकू मार दिया और इस झड़प में सोनू भी घायल हो गया.","In Bhiwani, Mohammad Zaid allegedly killed Rahul after an altercation with two brothers.
He was stabbed and Sonu also got injured in this clash.",3
"जाट आंदोलन के दौरान मुरथल में गैंगरेप के मामले में पंजाब-हरियाणा हाइकोर्ट ने
हरियाणा पुलिस को फटकार लगाई है. हाइकोर्ट ने कहा कि मुरथल में गैंगरेप हुआ था
और इसके सबूत हैं","Punjab-Haryana High Court in the case of gang rape in Murthal during Jat movement.
Haryana Police has been reprimanded. High Court said that gang rape took place in Murthal
and there is evidence",4
"13 साल की बच्ची के साथ चार महीने तक रेप होता रहा। उसके स्कूल के बाहर 62
साल का एक दुकानदार ये काम करता रहा। बच्ची किसी तरह इस ख़ौफ़नाक यातना के
बारे में बता पाई।","The 13 year old girl was raped for four months. outside her school 62
A shopkeeper of the year kept doing this work. The girl somehow escaped this dreadful torture.
Could tell about.",4
"लोन न चुकाने के विवाद में एक शख्स को अगवा कर लिया गया. आरोपी एक
राजनीतिक पार्टी के ओबीसी मोर्चे का जिला उपाध्यक्ष बताया जा रहा है.","A person was kidnapped over a dispute over non-payment of loan. accused one
He is said to be the district vice president of the OBC front of the political party.",2
पंचकुला में हुई जैन मुनि की हत्या,Jain monk murdered in Panchkula,3
कबाड़ी रोड स्थित रुई धागे की फैक्ट्री में आज सुबह करीब 5.30 बजे भीषण आग लग गई. आग से फैक्ट्री में रखा रुई का धागा व मशीनें जलकर नष्ट हो गईं. फैक्ट्री मालिक के अनुसार लाखों रुपये का नुकसान हुआ है.,"A massive fire broke out in the cotton yarn factory located on Kabadi Road at around 5.30 am today. The cotton yarn and machines kept in the factory were destroyed in the fire. According to the factory owner, there has been a loss of lakhs of rupees.",1
रोहतक के महम में सड़क हादसे में तीन श्रद्धालुओं की मौत हो गई और 24 लोग इस हादसे में घायल हो गए. यह हादसा रात करीब 3 बजे हिसार - दिल्ली हाईवे पर हुआ है. उत्तर प्रदेश के मेरठ के मोदीनगर से बगड़ धाम राजस्थान जा रहे श्रद्धालुओं की पिकअप गाड़ी को कैंटेनर ने टक्कर मारी दी,"Three devotees died and 24 people were injured in a road accident in Meham, Rohtak. This accident happened at around 3 o'clock in the night on Hisar-Delhi highway. The pickup vehicle of devotees going from Modinagar, Meerut, Uttar Pradesh to Bagad Dham, Rajasthan was hit by a container.",1
सेक्टर-65 थाना पुलिस ने गांव उल्लावास निवासी बलराज की शिकायत पर उनके बेटे के किडनैप होने की शिकायत पर अज्ञात के खिलाफ केस दर्ज किया था। बच्चा 16 दिसंबर की दोपहर के बाद किडनैप हुआ था। 7 साल के बच्चे को किडनैप कर बदमाशों ने 50 लाख की फिरौती मांगी थी। पकड़े गए आरोपितों ने पुलिस को इस बारे में पूछताछ में बताया।,"Sector-65 police station had registered a case against unknown people on the complaint of Balraj, resident of village Ullawas, about the kidnapping of his son. The child was kidnapped after noon on 16th December. The miscreants had kidnapped a 7 year old child and demanded a ransom of Rs 50 lakh. The arrested accused told the police about this during interrogation.",2
आज समय 6.30 एएम पर मुबारकपुर दिल्ली में किसी वाहन द्वारा कावड़ियों को टक्कर मारने पर कुण्डली बॉर्डर सोनीपत पर जाम लगाया (किसने जाम लगाया पता कर लेना) ज्ञात हुआ है कि उक्त सड़क दुघर्टना के कारण दिल्ली बार्डर पर वाहनों को रोका गया था। हरियाणा पुलिस ने एतिहात के तौर पर भारी वाहनों को राई में ही रूकवा दिया था तथा जाम में फसे वाहनों को जांटी मोड सोनीपत से भेजा गया। समय 11:30 ए. एम. पर दिल्ली पुलिस द्वारा डल्के वाहनों को दिल्ली में जाने की अनुमति दे दी गई।,"Today at 6.30 am, a jam was imposed on Kundli Border Sonipat after a vehicle hit the Kavadis in Mubarakpur, Delhi (find out who imposed the jam). It has been learned that due to the said road accident, the vehicles were stopped on the Delhi border. As a precautionary measure, Haryana Police had stopped heavy vehicles at Rai and the vehicles stuck in the jam were sent on janti mode from Sonipat. Time 11:30 A.M. But Delhi Police allowed slow vehicles to enter Delhi.",1
"जींद में प्रेम प्रसंग से आक्रोशित लड़की के परिजनों ने नाबालिग लड़की की हत्या कर
शव को जला दिया.","Angered by a love affair in Jind, the girl's family killed a minor girl.
Burnt the dead body.",3
"इधर दमन की एक फैक्ट्री पर बदमाशों ने धावा बोला और उधर सूरत के एक परिवार
में सन्नाटा पसर गया. क्योंकि बदमाशों ने इस घर के नौजवान बेटे को अगवा कर लिया
थl","Here miscreants attacked a factory in Daman and on the other side a family from Surat
There was silence. Because miscreants kidnapped the young son of this house
thl",2
"पंचकुला में एक इंजीनियर की पीट-पीटकर हत्या कर दी गई. इसके बाद उस
इंजीनियर की पहचान छुपाने के लिए दरिंदे अपराधियों ने उसका चेहरा भी पत्थर से
कुचल दिया.","An engineer was beaten to death in Panchkula. after that
To hide the identity of the engineer, the criminals also stoned his face.
Crushed.",3
"हरियाणा के कैथल में एक दलित लड़की को अगवा कर उसके साथ गैंगरेप करने
का मामला सामने आया है।","A Dalit girl was kidnapped and gang raped in Kaithal, Haryana.
A case has come to light.",4
"प्रियंका कश्यप ने कहा कि विकास ने बातचीत करने की कोशिश की और आरोपी
से अपने बेटे को छोड़ने का आग्रह किया. लेकिन आरोपी ने रकम नहीं देने पर उसके बेटे
को जान से मारने की धमकी दी.","Priyanka Kashyap said that Vikas tried to talk and the accused
Urged to leave his son. But when the accused did not pay the amount, his son
Threatened to kill.",2
पानीपत में आठ साल की बच्ची के अपहरण और हत्या का मामला आया है. लड़की की बहन ने बताया कि वे पांच भाई-बहन हैं और उनके पिता नहीं हैं. आठ साल की बच्ची नरेला में अपनी मां और भाई-बहनों के साथ रहती थी. उसने बताया कि उसकी मां घरों में काम करती है. उसने बताया कि सात अक्टूबर को उनका एक पड़ोसी उसकी आठ साल की बहन को खाने का सामान दिलाने के बहाने से ले गया और उसे अगवा कर लिया.,"A case of kidnapping and murder of an eight year old girl has come to light in Panipat. The girl's sister told that they are five brothers and sisters and they do not have a father. The eight-year-old girl lived in Narela with her mother and siblings. He told that his mother works at home. He told that on October 7, one of his neighbors took his eight-year-old sister on the pretext of buying food and kidnapped her.",2
"हरियाणा के करनाल में लूट के इरादे से घर में हथियारबंद बदमाश घुस
गए। वहीं जान बचाने को दंपती ने पहली मंजिल से छलांग लगा दी। दंपती
की बेटी ने बदमाशों को पकड़ने का प्रयास किया तो उसे चाकू मारकर भाग
निकले। बदमाश सीसीटीवी कैमरे में कैद हुए हैं।","Armed miscreant entered the house with the intention of robbery in Karnal, Haryana
Went. To save their lives, the couple jumped from the first floor. couple
When his daughter tried to catch the miscreants, they stabbed her and ran away.
Came out. The miscreants have been captured in CCTV cameras.",0
"हरियाणा के सोनीपत में आधार कार्ड बनवाकर लौट रही एक युवती से तीन लोगों ने
कथित तौर पर बलात्कार किया.","Three people attacked a girl returning after getting her Aadhar card made in Sonipat, Haryana.
Allegedly raped.",4
"महिला ने बताया, ''उसकी शादी 30 जुलाई 2018 को पुंडरी निवासी सन्नी से हुई थी लेकिन शादी के कुछ समय बाद ही ससुराल वाले दहेज की मांग करने लगे. मांग पूरी नहीं होने पर अक्सर उसके साथ मारपीट की जाती थी. आखिरकार ससुराल वालों ने मारपीट कर उसे घर से निकाल दिया और वापस लौटने पर बुरा अंजाम भुगतने की धमकी दी.'' पत्नी ने पति पर लगाया दुष्कर्म का आरोप.","The woman said, ""She was married to Sunny, a resident of Pundri, on July 30, 2018, but soon after the marriage, her in-laws started demanding dowry."" When his demands were not met, he was often beaten. Ultimately, her in-laws beat her up and threw her out of the house and threatened her with dire consequences if she returned. The wife accused her husband of rape.",4
"राजीव नगर एरिया में सोमवार रात एक मासूम का अपहरण कर उसके साथ रेप किया
गया। रातभर साथ रखने के बाद आरोपी मंगलवार सुबह उसे घर के पास छोड़कर फरार
हो गया। बताया गया कि आरोपी बच्ची को 100 रुपये देकर चॉकलेट दिलाने का
लालच दिया था। इसके बाद उसे ऑटो में लेकर शीतला माता रोड की ओर ले गया।","An innocent child was kidnapped and raped in Rajiv Nagar area on Monday night.
Went. After keeping her together overnight, the accused left her near the house and absconded on Tuesday morning.
Done. It was told that the accused was planning to give chocolate to the girl by paying Rs 100.
Was lured. After this, he was taken in an auto towards Shitala Mata Road.",2
"सरेराह स्कूटी से जा रहे व्यापारी राधेश्याम गुप्ता का शुक्रवार देर शाम अपहरण कर
उनकी हत्या कर दी गई. अपहरण के तत्काल बाद ही लोगों के बीच यह खबर फैल गई
थी कि व्यापारी का अपहरण हुआ है. शनिवार सुबह उनका शव भ्याना रोड के हनुमान
बडली पर मिला है.","Businessman Radheshyam Gupta, who was traveling on a scooty, was kidnapped late Friday evening.
He was murdered. This news spread among the people immediately after the kidnapping
It was said that the businessman had been kidnapped. On Saturday morning, his dead body was found in Hanuman of Bhayana Road.
Found on Badli.",2
रोहतक - पानीपत रोड पर गांव मकड़ौली खुर्द पुल पर एक डम्फर व साईकिल चालक का एक्सीडेंट हो गया। जिसमें साईकिल चालक शंकी (उम्र 8 / 10 साल) वासी मकडोली खुर्द की मौत हो गई ।,"A dumper and a cyclist met with an accident at village Makdauli Khurd bridge on Rohtak-Panipat road. In which cyclist Shanki (age 8/10 years), resident of Makdoli Khurd, died.",1
"पूर्व प्रेमी बिट्टू ने पूर्व प्रेमिका से शादी करने के लिए उसके 10 साल के बेटे को
किडनैप कर बेरहमी से मार डाला, ताकि उसकी सहानुभूति बटोर कर उसके नजदीक जा
सके और उससे शादी कर ले. बेटा शादी की राह में रोड़ा बना हुआ था.","Ex-boyfriend Bittu forced his 10-year-old son to marry his ex-girlfriend.
Kidnapped and killed brutally, so that he could get her sympathy and get closer to her.
If possible and marry her. The son was standing in the way of marriage.",2
"हरियाणा के फरीदाबाद स्थित सेक्टर-12 में एक व्यक्ति की कथित तौर पर पीट-पीट
कर हत्या करने के आरोप है शुक्रवार देर रात को एडेल्को मॉल इलाके में चारों
आरोपियों की दो लोगों से झगड़ा हुआ.साहिल और अरमान की पिटाई करने के बाद
पप्पू, शिव, राजू और बाबूलाल मौके से फरार हो गए.दोनों घायलों को उनके परिवार के
सदस्य अस्पताल ले गए जहां डॉक्टरों ने साहिल को मृत घोषित कर दिया जबकि
अरमान का इलाज किया जा रहा है.","A person was allegedly beaten in Sector-12, Faridabad, Haryana.
All four are accused of committing murder in Adelco Mall area late on Friday night.
The accused had a fight with two people. After beating Sahil and Armaan
Pappu, Shiv, Raju and Babulal fled from the spot. Both the injured were rescued by their families.
The members took him to the hospital where doctors declared Sahil brought dead.
Armaan is being treated.",3
"बदमाशों ने पहले डायल 100 को कॉल किया और कहा कि शराब पीकर कुछ लोग
विवाद कर रहे हैं। मौके पर डायल 100 टीम पहुंची तो बदमाशों ने वाहन में मौजूद
पुलिसकर्मियों को कट्टे की नोंक पर बंधक बनाकर एक युवती और उसके परिजनों का
अपहरण कर लिया। बदमाश डायल 100 वाहन में युवती को ले गए।","The miscreants first called dial 100 and said that some people were drunk.
Are arguing. When Dial 100 team reached the spot, the miscreants present in the vehicle
A young woman and her family were held hostage at gunpoint by policemen.
Kidnapped. The miscreants took the girl away in Dial 100 vehicle.",2
"आज रात को हरियाणा के जींद शहर में एक रोडवेज़ धारा की घटना हुई, जहां अपराधियों ने ट्रक को रोककर मालामाल सामग्री चुरा ली है। घटना की तारीख 16 जुलाई है, जब ट्रक ड्राइवर अपनी यात्रा कर रहा था। अचानक आपत्तिजनक वाहनों द्वारा रास्ता रोका गया और अज्ञात चोर ट्रक पर हमला करने लगे।","Tonight, a roadways incident took place in Jind city of Haryana, where criminals stopped a truck and stole valuables. The date of the incident is July 16, when the truck driver was on his journey. Suddenly the way was blocked by objectionable vehicles and unknown thieves started attacking the truck.",0
चेकडैम से एक महिला का शव बरामद हुआ है. काफी समय तक इस शव को पहचानने की कोशिश की जाती रही.,The body of a woman has been recovered from the check dam. Efforts were made to identify this dead body for a long time.,3
"जिला न्यायालय परिसर स्थित सिविल कोर्ट में तैनात महिला न्यायाधीश के मकान
का ताला तोड़कर चोरों ने लाखों रुपये का माल पार कर दिया। घटना को उस वक्त
अंजाम दिया जब वह अपने पति से मिलने देहरादून गई हुई थीं।","The house of the female judge posted in the Civil Court located in the District Court complex
By breaking the lock the thieves made away with goods worth lakhs of rupees. at the time of the incident
This was done when she had gone to Dehradun to meet her husband.",0
जींद जिले के नरवाना में उझाना बस स्टैंड के पास दर्दनाक हादसा हो गया जहां संतुलन बिगड़ने से कार पलट गई। इसमें कार सवार दो युवकों की मौत हो गई जबकि तीसरा युवक गंभीर रूप से घायल है। सूचना मिलते ही पुलिस मौके पर पहुंची और जांच जुट गई।,"A painful accident took place near Ujhana bus stand in Narwana of Jind district, where the car overturned due to loss of balance. In this, two youths traveling in the car died while the third youth was seriously injured. As soon as the information was received, the police reached the spot and started investigation.",1
"स बच्चे का बदमाशों ने अपहरण कर लिया था, लेकिन अपहरण के 15 घंटे बाद ही
पुलिस ने बदमाशों के चंगुल से इस मासूम को बचा लिया.","The child was kidnapped by miscreants, but only 15 hours after the kidnapping
The police saved this innocent child from the clutches of miscreants.",2
"रेवाड़ी जिले में एक नाबालिग से बलात्कार के आरोप में 19 वर्षीय युवक को
मंगलवार गिरफ्तार किया गया.","19 year old youth arrested for raping a minor in Rewari district
Arrested on Tuesday.",4
बहादुरगढ़ के पास से होकर गुजर रहे केएमपी यानी कुंडली-मानेसर-पलवल एक्सप्रेस-वे पर एक बार फिर से रफ्तार का कहर देखने को मिला है। यहां दो अलग- अलग हादसों में दो लोगों की मौत हो गई। घटना की सूचना मिलते ही पुलिस मौके पर पहुंची और दोनों के शवों को पोस्टमार्टम के लिए बहादुरगढ़ के सामान्य अस्पताल लाया गया। दुर्घटनाओं में मारे गए किसी भी व्यक्ति की पहचान फिलहाल नहीं हो पाई है।,"Speed ​​havoc has once again been witnessed on the KMP i.e. Kundli-Manesar-Palwal Expressway passing through Bahadurgarh. Here two people died in two separate accidents. As soon as the information about the incident was received, the police reached the spot and the bodies of both were brought to Bahadurgarh General Hospital for post-mortem. Any person killed in the accidents has not been identified yet.",1
"करनाल में एक पति ने अपने अवैध संबंध का विरोध कर रही पत्नी और बच्चे को
जिंदा जला दिया और घटना को अंजाम देने वाले पति और उसके परिवार के लोग फरार
हो गए.","In Karnal, a husband killed his wife and child who were protesting against his illicit relationship.
Burned alive and the husband who carried out the incident and his family absconded
Have become.",3
"गुरुग्राम में अवैध संबंध के शक में एक शख्स ने पत्नी के प्रेमी की हत्या आरोपी ने
अपने दो साथियों के साथ मिलकर इस जघन्य हत्याकांड को अंजाम दिया. पत्नी के
शादी से इतर संबंधों का पता चलने के बाद मुख्य आरोपी ने आपा खो दिया और पत्नी
के प्रेमी को जमकर पीटने के बाद बिल्डिंग की तीसरी मंजिल से फें क दिया, ताकि हत्या
को आत्महत्या की तरह दिखाया जा सके.","A man murdered his wife's lover on suspicion of illicit relationship in Gurugram.
Along with his two associates, he carried out this heinous murder. wife's
After finding out about his extramarital affairs, the main accused lost his temper and attacked his wife.
After beating her boyfriend badly, she threw him from the third floor of the building, so that he could be murdered.
Can be shown as suicide.",3
